LUID	Date	Hour	Instances
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	1	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	2	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	3	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	4	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	5	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	6	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	7	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	8	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	9	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	10	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	11	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	12	114
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	13	116
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	14	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	15	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	16	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	17	26
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-29	8	96
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-29	9	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-29	10	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-29	11	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-29	12	1
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-01	8	4
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-01	9	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-01	10	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-01	11	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-01	12	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-01	13	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-01	14	87
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	11	2
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	12	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	13	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	14	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	15	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	16	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	17	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	18	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	19	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	20	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	21	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	22	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-03	23	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	0	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	1	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	2	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	3	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	4	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	5	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	6	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	7	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	8	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	9	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	10	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	11	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	12	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	13	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	14	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	15	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	16	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	17	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	18	116
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	19	115
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	20	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	21	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	22	108
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-04	23	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	0	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	1	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	2	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	3	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	4	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	5	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	6	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	7	117
